GALATI,10158,1958,830,1049,2331,1758,2232,12
BIHOR,2844,415,194,405,659,498,673,12
ILFOV,887,156,58,120,220,177,156,12
VASLUI,9098,514,259,1265,2770,2266,2024,12
TULCEA,2967,528,385,428,526,599,501,12
MARAMURES,3453,752,288,601,801,551,460,12
TELEORMAN,9216,1336,694,1433,2140,1825,1788,12
IALOMITA,3970,626,322,473,879,668,1002,12
ARAD,2178,188,93,294,560,526,517,12
MURES,6819,1568,606,1213,1566,834,1032,12
IASI,8475,1059,374,1150,2216,1468,2208,12
DAMBOVITA,5004,890,440,728,1133,875,938,12
OLT,8194,1339,864,972,1733,1689,1597,12
BRASOV,5833,1219,553,1056,1235,714,1056,12
VRANCEA,4966,862,254,756,1164,1065,865,12
CONSTANTA,6302,970,372,807,1480,1102,1571,12
ARGES,8114,1029,548,1400,2049,1662,1426,12
TOTAL,239064,35819,17163,36574,57598,45696,46214,12
PRAHOVA,5876,1042,353,808,1409,1242,1022,12
CALARASI,3642,411,150,728,962,581,810,12
DOLJ,16799,2326,1434,2429,4070,3451,3089,12
