MUN. BUC.,12402,22,66,2181,4655,422,2089,2967,12
MEHEDINTI,6032,718,1012,2327,1165,55,606,149,12
BUZAU,7755,819,1876,2783,919,47,1221,90,12
IASI,8501,510,1861,2803,1036,76,2000,215,12
HARGHITA,5319,862,1584,1207,861,82,570,153,12
MARAMURES,3841,141,793,1121,838,96,592,260,12
ILFOV,946,129,279,239,155,10,73,61,12
BRASOV,5824,789,1773,1897,632,44,424,265,12
SATU MARE,4983,837,1947,1473,321,21,334,50,12
CARAS-SEVERIN,2351,322,402,597,549,45,305,131,12
BIHOR,2933,288,561,720,650,72,360,282,12
ARAD,2278,475,251,673,412,23,265,179,12
COVASNA,3059,422,1128,704,489,19,244,53,12
BOTOSANI,3480,153,627,1446,582,51,551,70,12
CLUJ,4356,733,854,1100,648,91,641,289,12
SUCEAVA,11298,1015,2534,4005,1408,148,1854,334,12
Total general,241222,20797,50279,79731,42867,2903,34083,10562,12
MURES,6616,918,2318,1772,770,49,630,159,12
ALBA,5795,398,970,1933,1353,68,801,272,12
PRAHOVA,5867,536,1082,1658,1124,74,1086,307,12
VALCEA,4774,173,564,1364,1357,89,969,258,12
CONSTANTA,6467,796,1043,1702,1563,84,911,368,12
ARGES,8289,433,2059,2838,1268,106,1300,285,12
DAMBOVITA,5213,449,1208,1944,828,42,592,150,12
BISTRITA NASAUD,3593,293,454,1154,804,45,669,174,12
VRANCEA,4865,328,1506,1812,598,52,482,87,12
IASI,8475,521,1883,2716,1135,88,1911,221,6
