MURES,"5,852","2,739","3,113",888,"4,964",2.49,2.71,2.32,6
TULCEA,"2,391","1,220","1,171",458,"1,933",2.89,3.19,2.63,6
TIMIS,"2,756","1,450","1,306","1,020","1,736",0.78,0.93,0.67,6
MEHEDINTI,"5,149","2,191","2,958",708,"4,441",5.1,4.65,5.49,6
IASI,"8,200","3,675","4,525",764,"7,436",2.75,2.7,2.79,6
HUNEDOARA,"5,795","3,204","2,591","1,840","3,955",3.39,4.04,2.83,6
MARAMURES,"3,273","1,677","1,596","1,031","2,242",1.64,1.84,1.47,6
Total,"224,044","105,928","118,116","39,090","184,954",2.56,2.66,2.48,6
SATU M.,"4,428","2,022","2,406",461,"3,967",3.03,2.99,3.06,6
HARGHITA,"4,605","2,199","2,406",875,"3,730",3.39,3.73,3.12,6
SALAJ,"4,354","1,917","2,437",668,"3,686",4.18,4.19,4.17,6
TELEORMAN,"8,150","3,477","4,673",922,"7,228",5.84,5.21,6.42,6
BUZAU,"7,657","3,225","4,432",902,"6,755",5.4,5.1,5.63,12
CLUJ,"4,322","2,202","2,120","1,001","3,321",1.23,1.43,1.08,12
BRAILA,"3,532","1,570","1,962",419,"3,113",3.28,3.26,3.3,12
DAMBOVITA,"5,004","2,618","2,386","1,019","3,985",3.04,4.02,2.4,12
GORJ,"4,308","2,127","2,181","1,054","3,254",3.61,3.87,3.38,12
ARGES,"8,114","3,821","4,293","1,792","6,322",3.58,3.7,3.47,12
CONSTANTA,"6,302","3,989","2,313","2,489","3,813",2.31,3.48,1.46,12
BRASOV,"5,833","2,791","3,042",714,"5,119",2.32,2.55,2.14,12
GIURGIU,"2,204","1,213",991,285,"1,919",3.42,4.29,2.74,12
ALBA,"5,797","2,721","3,076","1,410","4,387",3.85,3.93,3.78,12
CALARASI,"3,642","1,737","1,905",428,"3,214",4.97,5.31,4.69,12
ARAD,"2,178","1,120","1,058",937,"1,241",1.15,1.35,0.99,12
BACAU,"5,337","2,351","2,986","1,390","3,947",2.88,2.99,2.8,12
DOLJ,"16,799","7,275","9,524","1,586","15,213",7.47,7.39,7.53,12
BISTRITA NASAUD,"3,722","1,858","1,864","1,562","2,160",3.31,3.82,2.93,12
BOTOSANI,"3,384","1,536","1,848",784,"2,600",3.14,3.1,3.18,12
COVASNA,"3,212","1,497","1,715",392,"2,820",4.13,4.39,3.92,12
GALATI,"10,158","4,633","5,525","1,046","9,112",6.13,6.36,5.95,12
BIHOR,"2,844","1,540","1,304","1,097","1,747",1.22,1.48,1,12
TULCEA,"2,967","1,403","1,564",860,"2,107",4.09,4.32,3.91,12
HARGHITA,"5,409","2,432","2,977","1,289","4,120",4.56,4.89,4.33,12
OLT,"8,194","3,765","4,429",965,"7,229",6.33,6.8,5.99,12
SALAJ,"4,627","2,000","2,627",785,"3,842",5.16,5.28,5.07,12
VASLUI,"9,098","3,717","5,381",907,"8,191",8.58,7.51,9.52,12
MUN. BUC.,"12,798","6,575","6,223","1,188","11,610",1.04,1.07,1.02,12
HUNEDOARA,"6,170","3,292","2,878","2,006","4,164",3.97,4.74,3.34,12
PRAHOVA,"5,876","2,911","2,965","1,673","4,203",2.21,2.65,1.9,12
VALCEA,"4,757","2,357","2,400","1,492","3,265",3.42,3.94,3.03,12
SUCEAVA,"10,819","4,561","6,258","2,916","7,903",5.65,5.53,5.75,12
SIBIU,"4,353","2,036","2,317",863,"3,490",2.36,2.49,2.26,12
TELEORMAN,"9,216","3,924","5,292",971,"8,245",8.49,7.82,9.08,12
IASI,"8,475","3,773","4,702",858,"7,617",3.16,3.08,3.23,12
VRANCEA,"4,966","2,157","2,809",649,"4,317",4.39,4.15,4.59,12
TIMIS,"2,661","1,382","1,279",980,"1,681",0.81,0.99,0.68,12
SATU MARE,"4,920","2,154","2,766",589,"4,331",3.85,3.78,3.91,12
NEAMT,"6,081","2,650","3,431","1,430","4,651",4.04,4.08,4.01,12
ILFOV,887,525,362,239,648,0.43,0.64,0.29,12
MURES,"6,819","3,177","3,642","1,104","5,715",3.28,3.59,3.05,12
MARAMURES,"3,453","1,780","1,673","1,144","2,309",1.97,2.25,1.73,12
IALOMITA,"3,970","1,908","2,062",621,"3,349",5.09,5.51,4.75,12
MEHEDINTI,"5,783","2,513","3,270",795,"4,988",7,7,7,12
Total,"239,064","111,942","127,122","45,531","193,533",3.05,3.2,2.93,12
