GALATI,10292,4746,5546,1728,977,751,8564,3769,4795,6
MURES,6616,3050,3566,1747,880,867,4869,2170,2699,6
COVASNA,3059,1431,1628,822,418,404,2237,1013,1224,6
BISTRITA-NASAUD,3976,1979,1997,1232,687,545,2744,1292,1452,12
BRASOV,5640,2689,2951,1535,793,742,4105,1896,2209,12
CALARASI,3705,1768,1937,950,506,444,2755,1262,1493,12
MURES,6713,3089,3624,1834,921,913,4879,2168,2711,12
CLUJ,4390,2224,2166,1684,1017,667,2706,1207,1499,12
CONSTANTA,6432,4102,2330,2924,2083,841,3508,2019,1489,12
GIURGIU,2147,1178,969,448,294,154,1699,884,815,12
BUZAU,7780,3273,4507,1235,633,602,6545,2640,3905,12
HUNEDOARA,6270,3307,2963,4157,2213,1944,2113,1094,1019,12
GORJ,4161,2074,2087,1186,669,517,2975,1405,1570,12
OLT,8430,3910,4520,1463,779,684,6967,3131,3836,12
IASI,8499,3789,4710,1252,658,594,7247,3131,4116,12
COVASNA,3017,1394,1623,777,383,394,2240,1011,1229,12
MARAMURES,3713,1890,1823,1784,943,841,1929,947,982,12
HARGHITA,5511,2463,3048,1535,753,782,3976,1710,2266,12
CARAS-SEVERIN,2437,1141,1296,952,483,469,1485,658,827,12
SALAJ,4627,1983,2644,818,453,365,3809,1530,2279,12
MEHEDINTI,5774,2517,3257,971,518,453,4803,1999,2804,12
DOLJ,17165,7466,9699,2393,1267,1126,14772,6199,8573,12
SATU MARE,4997,2186,2811,924,446,478,4073,1740,2333,12
ARGES,8244,3844,4400,1252,719,533,6992,3125,3867,12
ARAD,2173,1124,1049,802,450,352,1371,674,697,12
NEAMT,6833,2944,3889,1127,601,526,5706,2343,3363,12
BOTOSANI,3431,1550,1881,1060,510,550,2371,1040,1331,12
SUCEAVA,11074,4596,6478,2920,1340,1580,8154,3256,4898,12
DAMBOVITA,5152,2719,2433,768,448,320,4384,2271,2113,12
BIHOR,2924,1560,1364,822,464,358,2102,1096,1006,12
IALOMITA,4136,2054,2082,1120,593,527,3016,1461,1555,12
GALATI,10091,4598,5493,1688,898,790,8403,3700,4703,12
BACAU,5382,2279,3103,1919,901,1018,3463,1378,2085,12
BRAILA,3555,1578,1977,866,459,407,2689,1119,1570,12
ILFOV,913,533,380,154,101,53,759,432,327,12
VALCEA,4828,2396,2432,1375,740,635,3453,1656,1797,12
Total TARA,242063,112994,129069,69304,36766,32538,172759,76228,96531,12
BUCURESTI,12789,6576,6213,12789,6576,6213,0,0,0,12
TULCEA,3020,1455,1565,891,481,410,2129,974,1155,12
VASLUI,9175,3731,5444,1180,592,588,7995,3139,4856,12
TELEORMAN,9362,3938,5424,1809,881,928,7553,3057,4496,12
TIMIS,2487,1267,1220,1080,576,504,1407,691,716,12
SIBIU,4346,2050,2296,1214,610,604,3132,1440,1692,12
ALBA,5881,2743,3138,1874,961,913,4007,1782,2225,12
PRAHOVA,5900,2897,3003,1694,958,736,4206,1939,2267,12
VRANCEA,4983,2140,2843,846,408,438,4137,1732,2405,12
